Y,DCP,VP,FP,COP,GOP,CFP,USP
0.0,0.0,-1.46,0.45662100456621,2.97777777777778,-1.78023327194598,-0.12531328320802,-0.12
0.0,0.53,-3.14,2.20779220779221,0.22,-0.8125,1.63111668757842,2.14
0.0,0.43,-0.880037054191755,1.33,2.41,-0.441083805923125,0.0,1.7
1.0,0.06,11.2,-1.44,0.29,0.949367088607595,-0.864197530864198,0.84
0.0,-1.14,-4.57983193277311,3.18,1.88679245283019,1.56739811912226,0.62266500622665,-3.3683048039757
0.0,0.517184433177636,-6.03,3.14,-0.617283950617284,2.34567901234568,0.99009900990099,3.6
0.0,0.980205293148292,-4.17,1.26,0.0,0.18,0.367647058823529,1.77
1.0,0.86,7.29,-2.5974025974026,1.66,1.87,-0.854700854700855,-0.2710027100271
1.0,-0.61,-0.5,0.363636363636364,-0.29,-2.54,1.97044334975369,0.0543478260869565
1.0,-0.46,1.37,-1.51,2.33,3.82,-0.966183574879227,-1.2
1.0,-0.56,1.04,-6.25,0.0,1.34,0.24390243902439,-0.71
1.0,-0.26,1.07334525939177,1.3734466971877,-1.39720558882236,-0.288184438040346,0.364963503649635,0.61
1.0,-0.8,4.33628318584071,-0.967741935483871,3.6,-0.346820809248555,-0.24,-1.27
0.0,-0.96,-3.73197625106022,-2.02,-1.328125,0.99,-0.364520048602673,-1.06
1.0,0.33,3.30396475770925,-0.53,-0.95,0.17,-0.24390243902439,-0.28169014084507
0.0,-2.13,-5.12,-1.7379679144385,1.64,-1.94954128440367,-0.366748166259169,3.44632768361582
1.0,1.42,1.21,-1.4,1.73,-1.81286549707602,0.368098159509202,-0.16
1.0,-0.79,4.84,-0.482758620689655,1.39,0.18,0.611246943765281,-3.7199124726477
0.0,-0.594053326647462,-10.42,0.14,2.4,-3.15,-1.57958687727825,2.78409090909091
0.0,0.846939405793819,-0.66,1.11,3.12732688011914,3.44,0.5,2.71
0.0,0.45,0.62,3.08,-0.505415162454874,-1.19,0.122850122850123,5.11
1.0,0.26,15.18,-0.93,-3.19,1.68,-1.34969325153374,-1.59
0.0,-2.51,-4.64,-0.34,-1.72,0.3,0.124378109452736,1.51
0.0,1.5,-9.17,2.89172831203766,1.26,0.706713780918728,-0.5,2.41
1.0,1.60956932702098,0.14,-2.6,-2.82485875706215,1.34502923976608,0.624219725343321,-2.15
1.0,-0.128427419354839,17.76,-1.81208053691275,1.24031007751938,3.86612810155799,-0.248138957816377,-5.12
1.0,-2.22,2.33,-4.03,-4.21,2.11111111111111,-0.621890547263682,0.16
1.0,-0.02,2.51,0.427350427350427,-6.27,-2.29,-0.75,-1.13
1.0,-0.33,-3.76,3.04964539007092,4.69,4.51,-0.630517023959647,-2.61
0.0,-0.29,-7.37,-1.03,1.22,1.6,-0.761421319796954,0.0558971492453885
0.0,1.23,-6.36,-0.556328233657858,4.31,-6.45,1.15089514066496,5.0
1.0,1.44,-0.73,0.27972027972028,0.66,2.35,1.01,-2.02127659574468
0.0,-0.21,-3.56,4.53,1.18819471061709,1.26,-0.876095118898623,4.07
0.0,1.28,4.41,-1.9346230820547,-0.4,1.51,-0.378787878787879,-5.95
1.0,0.12,2.76,-0.54421768707483,1.10266159695817,-1.7,0.633713561470215,3.27
1.0,-0.99,9.21,-2.33,-0.6,-4.0650406504065,0.125944584382872,-5.16
0.0,-1.59,-7.25,1.5406162464986,0.91,0.6,-0.377358490566038,3.28
1.0,2.01,5.03089143865843,1.17241379310345,1.8,3.14606741573034,-0.505050505050505,-1.26
0.0,-1.07,-3.94957983193277,-0.61,1.36,-0.76,-0.380710659898477,-0.22
0.0,1.36,-4.46,4.46,-0.84,-1.59,-1.91082802547771,2.11
1.0,1.78,-0.73,2.1,-2.02,4.02,0.5,-0.6
0.0,-0.3,-0.88,-1.60771704180064,-1.46,-3.11,1.29198966408269,1.37
1.0,0.12,0.47,-2.74509803921569,1.4,-0.11,-1.02040816326531,-4.16
0.0,-0.21,-7.55,5.11,-2.4,1.05,-0.515463917525773,-3.44
0.0,2.6,2.70541082164329,3.39,2.07,-1.8640350877193,3.10880829015544,3.74
